,speed,density,class
92,61.473476644084776,46.17054003040974,1
93,52.268958945186824,69.7823876429487,0
94,63.84042698422129,55.439146135464235,1
95,54.07734027987833,73.92630582463113,0
96,56.08837531626512,69.46450636442101,0
97,42.01098779850476,62.54887669467506,2
98,40.301967100804426,60.94717909738325,2
99,62.35095386037494,56.57256573065771,1
100,59.21435587340393,50.36346441943563,1
101,59.47968803580785,75.92701294694281,0
102,40.926512491866625,66.45048620169615,2
103,52.863969049404616,70.44027715262033,0
104,41.964375254885155,67.8226427245944,2
105,49.99075535183434,72.90728340381928,0
106,63.57531639482573,56.45410949185748,1
107,52.19495070915144,72.67964413081974,0
108,47.222380945230235,73.47979242356303,0
109,58.057648617990445,59.117362085909896,1
110,53.34893498002585,67.97704008487472,0
111,46.45907547819788,62.521063753015795,2
112,56.32861537562982,53.10356448524556,1
113,46.765216080613,67.1470671250493,2
114,53.719369940508614,70.61202838551594,0
115,56.21294009096875,72.51995961936476,0
116,58.29955244636238,67.81445917618099,0
117,63.12460002794167,54.75097202384526,1
118,40.56951812312151,61.241720348784426,2
119,42.3184335990828,65.07219581156028,2
120,58.48739549181286,54.33061641088105,1
121,58.8855496832261,55.93276272101007,1
122,44.295423329079256,59.877541080765255,2
123,56.01062698619936,68.22073426548937,0
124,58.3640265305077,53.29650285670329,1
125,51.73569149753119,67.25888282570503,0
126,37.097808183577314,65.94221469208335,2
127,54.46749818962486,55.054654090071175,1
128,38.98500250762024,62.39737804807113,2
129,56.72358850377071,74.28555665194153,0
130,43.20680504983936,61.610040473876865,2
131,57.173609081810994,56.53310185453457,1
132,56.00415488021679,53.0083586496031,1
133,55.80256482904757,55.8064934034833,1
134,56.89823466376978,72.74132214596528,0
135,59.34367909206897,54.78051879849604,1
136,59.98098003388809,52.49788344060337,1
137,57.73161564530924,71.06486501234886,0
138,57.27569156499569,49.854005009356854,1
139,43.846705265938034,64.24109948956252,2
140,41.957630831855504,68.0000853944737,2
141,41.0427120370127,63.748344821112084,2
142,59.36358761220529,70.90346184594455,0
143,56.7097598338123,52.967869236793625,1
144,62.84682944287246,52.535241519789246,1
145,53.946692796350355,71.68743266393119,0
146,40.25137910632177,67.4191934815741,2
147,38.44589937868452,69.56380334552017,2
148,56.96318758887904,54.64481353747261,1
149,52.97381215759583,73.54823652208145,0
150,60.1584891524819,50.9840378064661,1
151,39.22971983544961,68.22284717571371,2
152,40.289330390537295,69.19854246940301,2
153,39.408947720838015,60.17390628427485,2
154,57.06862207926508,71.90588536951418,0
155,66.76604545500646,58.497902147998865,1
156,62.59170926080539,56.958830761580884,1
157,58.64775317911423,55.73646843847396,1
158,52.79764681353838,71.07003301625893,0
159,51.3859008703824,74.22141609810451,0
160,49.27723002694229,61.409363838500965,2
161,44.89037372611138,63.84103556618276,2
162,43.18902900706229,61.91666605767902,2
163,41.21084050634664,64.87246607461684,2
164,58.41768910621143,70.97916212980489,0
165,51.069895397275275,74.42712676171598,0
166,60.20335923396758,52.27422557207262,1
167,44.66546947882573,65.65828975908248,2
168,60.225276365580065,55.62577350635493,1
169,56.39776687799404,55.28947090773724,1
170,52.21799314984213,65.57654723257016,0
171,62.15203196024595,49.682145332869446,1
172,49.762539820857434,77.37126282293733,0
173,63.73333230151375,57.72717407580015,1
174,44.36462917998621,63.20725194449995,2
175,44.46085138121248,64.60072397392442,2
176,60.53080248390123,67.47565945381461,0
177,37.271162475593705,65.7512527328508,2
178,52.57160216939652,73.1366842111174,0
179,56.600031050673884,57.02140722889433,1
180,55.50617532696305,74.44885374669309,0
181,41.56227932320857,61.20537731225559,2
182,61.55511379949869,56.51904240478042,1
183,66.14407453191647,55.65859826775347,1
184,64.75979124063849,48.27836322464909,1
185,61.6906142646953,67.15583961344565,0
186,40.20666676823509,62.15043234100338,2
187,56.83393164993108,53.174858165456385,1
188,55.31348110621511,75.88175715813088,0
189,60.65017647217363,75.96048101154523,0
190,45.16102505623338,65.6093062580694,2
191,41.48996784564688,62.30493467123074,2
192,55.52752241515914,56.319456437011304,1
193,57.86610861464286,52.41966896643908,1
194,56.807790311698646,56.83191260481967,1
195,63.656245373483905,51.24852377459942,1
196,40.31344724067882,69.56806369523522,2
197,63.00687433144216,55.43997294526359,1
198,55.820553497685175,68.95664941933677,0
199,58.09954547177363,50.33822643350452,1
